source_year,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,publisher,book_url,image_url,source
1938,La nausée,Jean-Paul Sartre,3.9545455,22,0,"La nausée Jean-Paul Sartre Existentialism, Fiction, Litterature francaise, Ecrivains, Romans, nouvelles, Psychanalyse, French novellas, Psychoanalysis, Self-hate (Psychology), Translations into English Rodopi, Editorial Sol 90, Losada/Argentina, Penguin Books, Limited, New Directions Publishing Corp.","Existentialism, Fiction, Litterature francaise, Ecrivains, Romans, nouvelles, Psychanalyse, French novellas, Psychoanalysis, Self-hate (Psychology), Translations into English",,"Rodopi, Editorial Sol 90, Losada/Argentina, Penguin Books, Limited, New Directions Publishing Corp.",https://openlibrary.org/works/OL1161171W,https://covers.openlibrary.org/b/id/9393973-M.jpg,Open Library API
1938,The reluctant dragon,"Kenneth Grahame, Jim Weiss, Ernest H. Shepard, Michael Hague",4.25,8,0,"The reluctant dragon Kenneth Grahame, Jim Weiss, Ernest H. Shepard, Michael Hague Fiction, Dragons, Juvenile fiction, Fairy tales, Fairy plays, Fantasy, Friendship, Compromise (Ethics), Children's fiction, Dragons, fiction Holt, Rinehart, and Winston, Tandem Library, Puffin, Andre Deutsch Ltd, The Well-Trained Mind Press","Fiction, Dragons, Juvenile fiction, Fairy tales, Fairy plays, Fantasy, Friendship, Compromise (Ethics), Children's fiction, Dragons, fiction",,"Holt, Rinehart, and Winston, Tandem Library, Puffin, Andre Deutsch Ltd, The Well-Trained Mind Press",https://openlibrary.org/works/OL69602W,https://covers.openlibrary.org/b/id/6557137-M.jpg,Open Library API
1938,The sword in the stone,T. H. White,4.2222223,9,0,"The sword in the stone T. H. White Adaptations, Arthurian romances, Britons, Children's stories, Classic Literature, Fiction, Folklore, Juvenile fiction, Kings and rulers, Knights and knighthood HarperCollins Publishers Canada, Limited, Mursia, COLLINS, HarperCollins Children's Books, Thomas T. Beeler Publisher","Adaptations, Arthurian romances, Britons, Children's stories, Classic Literature, Fiction, Folklore, Juvenile fiction, Kings and rulers, Knights and knighthood",,"HarperCollins Publishers Canada, Limited, Mursia, COLLINS, HarperCollins Children's Books, Thomas T. Beeler Publisher",https://openlibrary.org/works/OL1388027W,https://covers.openlibrary.org/b/id/12387482-M.jpg,Open Library API
1938,Brighton rock,Graham Greene,2.5,2,0,"Brighton rock Graham Greene Fiction, Gangsters, Organized crime, Psychopaths, Teenage boys, Fiction / General, Gangs, Fiction, suspense, England, fiction, Greene, graham, 1904-1991 William Heinemann Ltd, Penguin UK, Penguin Classics, Macmillan Collector's Library, Edito-Service","Fiction, Gangsters, Organized crime, Psychopaths, Teenage boys, Fiction / General, Gangs, Fiction, suspense, England, fiction, Greene, graham, 1904-1991",,"William Heinemann Ltd, Penguin UK, Penguin Classics, Macmillan Collector's Library, Edito-Service",https://openlibrary.org/works/OL106083W,https://covers.openlibrary.org/b/id/7899030-M.jpg,Open Library API
1938,The Code of the Woosters,P. G. Wodehouse,3.9230769,13,0,"The Code of the Woosters P. G. Wodehouse Bertie Wooster (Fictitious character), Open Library Staff Picks, Valets, Single men, Fiction, Classic Literature, Jeeves (Fictitious character), Jeeves (fictitious character), fiction, Wooster, bertie (fictitious character), fiction, Fiction, humorous The Audio Partners, Blackstone Audiobooks, Arrow, P. F. Collier, Simon and Schuster","Bertie Wooster (Fictitious character), Open Library Staff Picks, Valets, Single men, Fiction, Classic Literature, Jeeves (Fictitious character), Jeeves (fictitious character), fiction, Wooster, bertie (fictitious character), fiction, Fiction, humorous",,"The Audio Partners, Blackstone Audiobooks, Arrow, P. F. Collier, Simon and Schuster",https://openlibrary.org/works/OL1337126W,https://covers.openlibrary.org/b/id/254199-M.jpg,Open Library API
1938,A Blunt Instrument,Georgette Heyer,3.1666667,6,0,"A Blunt Instrument Georgette Heyer 1930s, Contemporary, Country homes, Detective and mystery stories, Fiction, Fiction in English, Investigation, Murder, Police, Suspense Panther, Poisoned Pen Press, Sourcebooks, Incorporated, Chivers, Chivers Audio Books","1930s, Contemporary, Country homes, Detective and mystery stories, Fiction, Fiction in English, Investigation, Murder, Police, Suspense",,"Panther, Poisoned Pen Press, Sourcebooks, Incorporated, Chivers, Chivers Audio Books",https://openlibrary.org/works/OL4092518W,https://covers.openlibrary.org/b/id/6924145-M.jpg,Open Library API
1938,The death of the heart,Elizabeth Bowen,4.3333335,3,0,"The death of the heart Elizabeth Bowen Fiction in English, Classic fiction, Young women, Fiction, Adolescence, Separation (Psychology), British and irish fiction (fictional works by one author), Fiction, general Penguin Classics, Vintage Books, Jonathan Cape, Penguin in association with Jonathan Cape, Penguin Books","Fiction in English, Classic fiction, Young women, Fiction, Adolescence, Separation (Psychology), British and irish fiction (fictional works by one author), Fiction, general",,"Penguin Classics, Vintage Books, Jonathan Cape, Penguin in association with Jonathan Cape, Penguin Books",https://openlibrary.org/works/OL724067W,https://covers.openlibrary.org/b/id/71487-M.jpg,Open Library API
1939,And Then There Were None,Agatha Christie,4.240964,166,0,"And Then There Were None Agatha Christie Roman policier, French language materials, Français (langue), Lectures et morceaux choisis, cyanide poisoning, chloral hydrate, potassium cyanide, Scotland Yard, coroners, message in a bottle Alfred Scherz Verlag, RosettaBooks, Jing xiao zhe Xing guang shu bao she, Independently published, Gallimard","Roman policier, French language materials, Français (langue), Lectures et morceaux choisis, cyanide poisoning, chloral hydrate, potassium cyanide, Scotland Yard, coroners, message in a bottle",,"Alfred Scherz Verlag, RosettaBooks, Jing xiao zhe Xing guang shu bao she, Independently published, Gallimard",https://openlibrary.org/works/OL471565W,https://covers.openlibrary.org/b/id/11172296-M.jpg,Open Library API
1939,The Grapes of Wrath,John Steinbeck,3.9252336,107,0,"The Grapes of Wrath John Steinbeck Labor camps, Depressions, Labor camps in literature, Classic Literature, Open Library Staff Picks, Pulitzer Prize Winner, Fiction, Migrant agricultural laborers in literature, award:pulitzer_prize=1940, open_syllabus_project Sel Yayıncılık, Lectorum Pubns Inc (J), Uitgeverij De lage landen, n.v., Cram Cassettes, J.G. FERGUSON PUBLISHING COMPANY","Labor camps, Depressions, Labor camps in literature, Classic Literature, Open Library Staff Picks, Pulitzer Prize Winner, Fiction, Migrant agricultural laborers in literature, award:pulitzer_prize=1940, open_syllabus_project",,"Sel Yayıncılık, Lectorum Pubns Inc (J), Uitgeverij De lage landen, n.v., Cram Cassettes, J.G. FERGUSON PUBLISHING COMPANY",https://openlibrary.org/works/OL23205W,https://covers.openlibrary.org/b/id/12715902-M.jpg,Open Library API
1939,The Once and Future King,T. H. White,4.090909,33,0,"The Once and Future King T. H. White Adaptations, Arthur,, Arthur, in fiction, Arthurian romances, Britons, Britons in fiction, English Fantasy fiction, English Historical fiction, Fantasy fiction, Fiction International Collectors Library, HarperCollins Publishers, Geleos, HarperCollins Publishers Limited, Independently Published","Adaptations, Arthur,, Arthur, in fiction, Arthurian romances, Britons, Britons in fiction, English Fantasy fiction, English Historical fiction, Fantasy fiction, Fiction",,"International Collectors Library, HarperCollins Publishers, Geleos, HarperCollins Publishers Limited, Independently Published",https://openlibrary.org/works/OL1388028W,https://covers.openlibrary.org/b/id/6630521-M.jpg,Open Library API
